Longitude,Latitude,Adres,Type Lader
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00001 mennekes
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00001 mennekes
8.309.312,47.479.385,Parkstrasse 23 Baden,Krachtstroom Essent EM-CH-00001902-01-00001 mennekes
8.309.312,47.479.375,Parkstrasse 23 Baden,Krachtstroom Essent EM-CH-00001902-01-00002 mennekes
6.927.764,46.993.413,Rue de Seyon 38 Neuch‚tel,Krachtstroom Essent EM-CH-00002000-01-00001 mennekes
6.927.765,46.993.412,Rue de Seyon 38 Neuch‚tel,Krachtstroom Essent EM-CH-00002000-01-00002 mennekes
6.843.428,46.944.739,Route de Boudry 11 Cortaillod,Krachtstroom Essent EM-CH-00002016-01-00001 mennekes
6.843.428,46.944.739,Route de Boudry 11 Cortaillod,Krachtstroom Essent EM-CH-00002016-01-00001 mennekes
6.858.502,4.683.173,Restoroute Rose de la Broye  Lully,Krachtstroom Essent EM-CH-00002025-01-00001 mennekes
6.858.502,4.683.173,Restoroute Rose de la Broye  Lully,Krachtstroom Essent EM-CH-00002025-01-00001 mennekes
6.963.889,46.717.377,Zone ind. du Vivier 16 Villaz-Saint-Pierre,Krachtstroom Essent EM-CH-00002111-01-00001 mennekes
6.963.889,46.717.377,Zone ind. du Vivier 16 Villaz-Saint-Pierre,Krachtstroom Essent EM-CH-00002111-01-00001 mennekes
7.087.818,46.683.012,Autoroute A12  Pont-en-Ogoz,Krachtstroom Essent EM-CH-00002122-01-00001 mennekes
7.087.818,46.683.012,Autoroute A12  Pont-en-Ogoz,Krachtstroom Essent EM-CH-00002122-01-00001 mennekes
6.961.746,46.621.925,Route de la Joretta 130 S‚les,Krachtstroom Essent EM-CH-00002152-01-00001 mennekes
6.961.746,46.621.925,Route de la Joretta 130 S‚les,Krachtstroom Essent EM-CH-00002152-01-00001 mennekes
7.153.528,46.805.664,Rue de l'HÙpital 2 Fribourg,Krachtstroom Essent EM-CH-00002196-01-00001 mennekes
7.153.528,46.805.664,Rue de l'HÙpital 2 Fribourg,Krachtstroom Essent EM-CH-00002196-01-00001 mennekes
7.153.333,46.802.222,Grand-Places 16 Fribourg,Krachtstroom Essent EM-CH-00002196-01-00002 mennekes
7.153.333,46.802.222,Grand-Places 16 Fribourg,Krachtstroom Essent EM-CH-00002196-01-00002 mennekes
7.173.066,46.810.436,Route de la Heitera 13 Fribourg,Krachtstroom Essent EM-CH-00002196-01-00003 mennekes
714.951,4.682.311,Route de Morat 135 Granges-Paccot,Krachtstroom Essent EM-CH-00002198-01-00001 mennekes
714.958,4.682.322,Route de Morat 135 Granges-Paccot,Krachtstroom Essent EM-CH-00002198-01-00002 mennekes
714.958,4.682.322,Route de Morat 135 Granges-Paccot,Krachtstroom Essent EM-CH-00002198-01-00002 mennekes
7.151.606,46.779.963,Route de Fribourg 13 Marly,Krachtstroom Essent EM-CH-00002206-01-00001 mennekes
7.151.606,46.779.963,Route de Fribourg 13 Marly,Krachtstroom Essent EM-CH-00002206-01-00001 mennekes
7.088.735,46.782.573,Route du Madelain 4 Matran,Krachtstroom Essent EM-CH-00002208-01-00002 mennekes
7.088.735,46.782.573,Route du Madelain 4 Matran,Krachtstroom Essent EM-CH-00002208-01-00002 mennekes
7.190.549,46.850.945,Bahnhofstrasse 2 D¸dingen,Krachtstroom Essent EM-CH-00002293-01-00001 mennekes
7.190.549,46.850.945,Bahnhofstrasse 2 D¸dingen,Krachtstroom Essent EM-CH-00002293-01-00001 mennekes
9.069.807,47.443.594,Wilerstrasse 25 Jonschwil,Krachtstroom Essent EM-CH-00003405-01-00001 mennekes
9.506.392,46.845.881,Emserstrasse 2 Chur,Krachtstroom Essent EM-CH-00003901-01-00001 mennekes
8.091.376,47.404.551,Hinterdorfstr. 40 Aarau,Krachtstroom Essent EM-CH-00004001-01-00001 mennekes
8.309.312,47.479.385,Steinachermattweg 1 Buchs,Krachtstroom Essent EM-CH-00004003-01-00001 mennekes
7.897.453,47.309.704,Rˆssliweg 48 Rothrist,Krachtstroom Essent EM-CH-00004282-01-00001 mennekes
7.897.453,47.309.704,Rˆssliweg 48 Rothrist,Krachtstroom Essent EM-CH-00004282-01-00001 mennekes
8.241.944,47.590.737,Oberes Zelgli 16 Klingnau,Krachtstroom Essent EM-CH-00004309-01-00001 mennekes
8.918.337,46.017.929,Via Industria 21 Bioggio,Krachtstroom Essent EM-CH-00005151-01-00001 mennekes
8.918.337,46.017.929,Via Industria 21 Bioggio,Krachtstroom Essent EM-CH-00005151-01-00001 mennekes
9.069.807,47.443.594,Rue Fritz-Courvoisier 54 La Chaux-de-Fonds,Krachtstroom Essent EM-CH-00006421-01-00001 mennekes
14.509.746,50.080.199,Limuzsk· 3135/12 Prag,Snellader Essent EM-CZ-00554782-01-00001 chademo
10.109.992,54.312.125,Saarbr¸ckenstrasse 54 Kiel,Krachtstroom Essent EM-DE-01002000-01-00001 mennekes
10.109.992,54.312.125,Saarbr¸ckenstrasse 54 Kiel,Krachtstroom Essent EM-DE-01002000-01-00001 mennekes
9.943.861,54.069.481,Wasbeker Strasse 306 Neum¸nster,Krachtstroom Essent EM-DE-01004000-01-00001 mennekes
9.943.861,54.069.481,Wasbeker Strasse 306 Neum¸nster,Krachtstroom Essent EM-DE-01004000-01-00001 mennekes
10.779.577,53.998.729,Strandallee 84 Timmendorfer Strand,Krachtstroom Essent EM-DE-01055042-01-00001 mennekes
10.779.577,53.998.729,Strandallee 84 Timmendorfer Strand,Krachtstroom Essent EM-DE-01055042-01-00001 mennekes
10.780.556,53.994.444,Hˆppnerweg 10 Timmendorfer Strand,Krachtstroom Essent EM-DE-01055042-01-00002 mennekes
10.780.556,53.994.444,Hˆppnerweg 10 Timmendorfer Strand,Krachtstroom Essent EM-DE-01055042-01-00002 mennekes
10.755.556,54.024.722,Seestraﬂe / Badeweg  Scharbeutz,Krachtstroom Essent EM-DE-01055044-01-00001 mennekes
10.755.556,54.024.722,Seestraﬂe / Badeweg  Scharbeutz,Krachtstroom Essent EM-DE-01055044-01-00001 mennekes
10.048.188,54.175.268,Bahhofstr. 13 Bordesholm,Krachtstroom Essent EM-DE-01058022-01-00001 mennekes
10.048.188,54.175.268,Bahhofstr. 13 Bordesholm,Krachtstroom Essent EM-DE-01058022-01-00001 mennekes
10.026.462,54.175.513,Holstenstraﬂe 23 Bordesholm,Krachtstroom Essent EM-DE-01058022-01-00002 mennekes
10.026.462,54.175.513,Holstenstraﬂe 23 Bordesholm,Krachtstroom Essent EM-DE-01058022-01-00002 mennekes
9.520.628,53.889.881,Itzhoer Strasse 14 D‰geling,Krachtstroom Essent EM-DE-01061022-01-00001 mennekes
9.520.628,53.889.881,Itzhoer Strasse 14 D‰geling,Krachtstroom Essent EM-DE-01061022-01-00001 mennekes
9.987.469,53.553.608,Hohe Bleichen 22 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00001 mennekes
9.987.469,53.553.608,Hohe Bleichen 22 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00001 mennekes
9.986.731,53.551.947,Groﬂe Bleichen 35 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00002 mennekes
9.986.731,53.551.947,Groﬂe Bleichen 35 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00002 mennekes
9.985.139,53.551.303,Stadthausbr¸cke 5 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00003 mennekes
9.985.139,53.551.303,Stadthausbr¸cke 5 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00003 mennekes
1.001.771,53.549.616,Spaldingstraﬂe 110 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00009 mennekes
1.001.771,53.549.616,Spaldingstraﬂe 110 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00009 mennekes
9.979.566,53.545.092,Am Baumwall 11 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00015 mennekes
9.979.566,53.545.092,Am Baumwall 11 Hamburg,Krachtstroom Essent EM-DE-02000000-01-00015 mennekes
9.944.952,53.593.329,Koppelstraﬂe 49 Hamburg,Krachtstroom Essent EM-DE-02000000-03-00002 mennekes
9.944.952,53.593.329,Koppelstraﬂe 49 Hamburg,Krachtstroom Essent EM-DE-02000000-03-00002 mennekes
10.016.667,53.601.944,‹berseering 40 Hamburg,Krachtstroom Essent EM-DE-02000000-04-00001 mennekes
10.016.667,53.601.944,‹berseering 40 Hamburg,Krachtstroom Essent EM-DE-02000000-04-00001 mennekes
10.089.167,53.587.778,Friedrich-Ebert-Damm 103 Hamburg,Krachtstroom Essent EM-DE-02000000-05-00001 mennekes
10.089.167,53.587.778,Friedrich-Ebert-Damm 103 Hamburg,Krachtstroom Essent EM-DE-02000000-05-00001 mennekes
10.015.883,53.638.672,Flughafenstraﬂe 54 Hamburg,Krachtstroom Essent EM-DE-02000000-08-00001 mennekes
10.015.883,53.638.672,Flughafenstraﬂe 54 Hamburg,Krachtstroom Essent EM-DE-02000000-08-00001 mennekes
9.981.723,53.601.699,Nedderfeldstrasse 95 Hamburg,Krachtstroom Essent EM-DE-02000000-09-00001 mennekes
9.981.723,53.601.699,Nedderfeldstrasse 95 Hamburg,Krachtstroom Essent EM-DE-02000000-09-00001 mennekes
10.086.667,53.543.056,Kolumbusstraﬂe 8 Hamburg,Krachtstroom Essent EM-DE-02000000-11-00001 mennekes
10.086.667,53.543.056,Kolumbusstraﬂe 8 Hamburg,Krachtstroom Essent EM-DE-02000000-11-00001 mennekes
9.827.631,52.298.089,L¸becker Strasse 17 Laatzen,Krachtstroom Essent EM-DE-03241009-01-00001 mennekes
9.827.631,52.298.089,L¸becker Strasse 17 Laatzen,Krachtstroom Essent EM-DE-03241009-01-00001 mennekes
9.856.968,52.273.961,Am Golfplatz 1 Laatzen,Krachtstroom Essent EM-DE-03241009-03-00001 mennekes
9.856.968,52.273.961,Am Golfplatz 1 Laatzen,Krachtstroom Essent EM-DE-03241009-03-00001 mennekes
8.375.487,52.469.367,Burgstraﬂe 7 Lemfˆrde,Krachtstroom Essent EM-DE-03251023-01-00001 mennekes
8.375.487,52.469.367,Burgstraﬂe 7 Lemfˆrde,Krachtstroom Essent EM-DE-03251023-01-00001 mennekes
10.369.167,53.190.278,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00001 mennekes
10.369.167,53.190.278,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00001 mennekes
10.369.222,53.190.333,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00002 mennekes
10.369.222,53.190.333,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00002 mennekes
10.369.278,53.190.389,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00003 mennekes
10.369.278,53.190.389,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00003 mennekes
10.369.333,53.190.444,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00004 mennekes
10.369.333,53.190.444,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00004 mennekes
10.369.389,531.905,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00005 mennekes
10.369.389,531.905,ADAC-Straﬂe 1 Embsen,Krachtstroom Essent EM-DE-03355016-01-00005 mennekes
9.179.989,53.090.103,Everinghauserstrasse 200 Sottrum,Snellader Essent EM-DE-03357045-01-00001 chademo
9.179.989,53.090.103,Everinghauserstrasse 200 Sottrum,Krachtstroom Essent EM-DE-03357045-01-00001 mennekes
9.178.015,53.090.461,Everinghauserstrasse 200 Sottrum,Snellader Essent EM-DE-03357045-01-00002 chademo
9.178.015,53.090.461,Everinghauserstrasse 200 Sottrum,Krachtstroom Essent EM-DE-03357045-01-00002 mennekes
1.008.435,52.986.668,Aussiger Str.  Munster,Krachtstroom Essent EM-DE-03358016-01-00001 mennekes
1.008.435,52.986.668,Aussiger Str.  Munster,Krachtstroom Essent EM-DE-03358016-01-00001 mennekes
9.837.814,52.985.263,Blumenstraﬂe 6 Soltau,Krachtstroom Essent EM-DE-03358021-01-00001 mennekes
9.837.814,52.985.263,Blumenstraﬂe 6 Soltau,Krachtstroom Essent EM-DE-03358021-01-00001 mennekes
9.839.233,52.990.333,Scheibenstraﬂe 23 Soltau,Krachtstroom Essent EM-DE-03358021-01-00002 mennekes
9.839.233,52.990.333,Scheibenstraﬂe 23 Soltau,Krachtstroom Essent EM-DE-03358021-01-00002 mennekes
9.925.407,52.982.989,Rahrsberg 7 Soltau,Krachtstroom Essent EM-DE-03358021-01-00004 mennekes
9.925.407,52.982.989,Rahrsberg 7 Soltau,Krachtstroom Essent EM-DE-03358021-01-00004 mennekes
8.672.222,53.036.667,Reinersweg 34 Delmenhorst,Krachtstroom Essent EM-DE-03401000-01-00001 mennekes
8.672.222,53.036.667,Reinersweg 34 Delmenhorst,Krachtstroom Essent EM-DE-03401000-01-00001 mennekes
805.432,5.227.424,Goethering 24 Osnabr¸ck,Krachtstroom Essent EM-DE-03404000-01-00001 mennekes
805.432,5.227.424,Goethering 24 Osnabr¸ck,Krachtstroom Essent EM-DE-03404000-01-00001 mennekes
7.976.922,52.265.938,Rheiner Landstraﬂe 195 Osnabr¸ck,Krachtstroom Essent EM-DE-03404000-02-00001 mennekes
7.976.922,52.265.938,Rheiner Landstraﬂe 195 Osnabr¸ck,Krachtstroom Essent EM-DE-03404000-02-00001 mennekes
7.289.195,52.690.512,Am Neuen Markt 4 Meppen,Krachtstroom Essent EM-DE-03454035-01-00002 mennekes
7.289.195,52.690.512,Am Neuen Markt 4 Meppen,Krachtstroom Essent EM-DE-03454035-01-00002 mennekes
7.429.722,52.325.833,Holsterfeld 2 Salzbergen,Krachtstroom Essent EM-DE-03454045-01-00001 mennekes
7.429.722,52.325.833,Holsterfeld 2 Salzbergen,Krachtstroom Essent EM-DE-03454045-01-00001 mennekes
7.154.766,5.230.316,Funkenstiege 5 Bad Bentheim,Krachtstroom Essent EM-DE-03456001-01-00001 mennekes
7.154.766,5.230.316,Funkenstiege 5 Bad Bentheim,Krachtstroom Essent EM-DE-03456001-01-00001 mennekes
7.159.722,52.309.167,Professor-Prakke-Str. 1 Bad Bentheim,Krachtstroom Essent EM-DE-03456001-01-00002 mennekes
7.159.722,52.309.167,Professor-Prakke-Str. 1 Bad Bentheim,Krachtstroom Essent EM-DE-03456001-01-00002 mennekes
6.966.896,52.498.024,Hauptstraﬂe 48 Neuenhaus,Krachtstroom Essent EM-DE-03456014-01-00001 mennekes
6.966.896,52.498.024,Hauptstraﬂe 48 Neuenhaus,Krachtstroom Essent EM-DE-03456014-01-00001 mennekes
7.074.231,52.435.886,Firnhaber/Seeufer  Nordhorn,Krachtstroom Essent EM-DE-03456015-00-00001 mennekes
7.074.231,52.435.886,Firnhaber/Seeufer  Nordhorn,Krachtstroom Essent EM-DE-03456015-00-00001 mennekes
842.749,52.913.321,Hunteweg 11 Dˆtlingen,Krachtstroom Essent EM-DE-03458003-01-00001 mennekes
842.749,52.913.321,Hunteweg 11 Dˆtlingen,Snellader Essent EM-DE-03458003-01-00001 chademo
8.425.484,52.915.152,Hunteweg 10 Dˆtlingen,Snellader Essent EM-DE-03458003-01-00002 chademo
8.425.484,52.915.152,Hunteweg 10 Dˆtlingen,Krachtstroom Essent EM-DE-03458003-01-00002 mennekes
8.343.056,52.32,Gartenstraﬂe 8 Bad Essen,Krachtstroom Essent EM-DE-03459003-01-00001 mennekes
8.343.056,52.32,Gartenstraﬂe 8 Bad Essen,Krachtstroom Essent EM-DE-03459003-01-00001 mennekes
7.983.581,52.409.486,Maschstraﬂe 9 Bramsche,Krachtstroom Essent EM-DE-03459014-01-00001 mennekes
7.983.581,52.409.486,Maschstraﬂe 9 Bramsche,Krachtstroom Essent EM-DE-03459014-01-00001 mennekes
8.221.667,52.341.389,Bremerstr. / Friedhof  Ostercappeln,Krachtstroom Essent EM-DE-03459029-01-00001 mennekes
8.221.667,52.341.389,Bremerstr. / Friedhof  Ostercappeln,Krachtstroom Essent EM-DE-03459029-01-00001 mennekes
8.858.056,53.070.833,Bennigsenstrasse 2-6 Bremen,Krachtstroom Essent EM-DE-04011000-01-00001 mennekes
8.858.056,53.070.833,Bennigsenstrasse 2-6 Bremen,Krachtstroom Essent EM-DE-04011000-01-00001 mennekes
6.816.114,51.220.003,Hˆherweg 101 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00001 mennekes
6.816.114,51.220.003,Hˆherweg 101 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00001 mennekes
6.818.056,51.220.278,Hˆherweg 111 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00002 mennekes
6.818.056,51.220.278,Hˆherweg 111 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00002 mennekes
6.822.778,51.234.722,Metro Straﬂe 8 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00006 mennekes
6.822.778,51.234.722,Metro Straﬂe 8 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00006 mennekes
6.822.778,51.234.722,Metro Straﬂe 6 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00007 mennekes
6.822.778,51.234.722,Metro Straﬂe 6 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00007 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 5 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00008 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 5 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00008 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 3 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00009 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 3 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00009 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 3 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00010 mennekes
6.823.333,51.236.389,Schl¸terstraﬂe 3 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-02-00010 mennekes
6.824.444,51.211.944,Erkrather Straﬂe 377-389 D¸sseldorf,Krachtstroom Essent EM-DE-05111000-04-00001 mennekes
6.689.444,514.175,Hochstrasse 175 Duisburg,Krachtstroom Essent EM-DE-05112000-03-00001 mennekes
6.689.444,514.175,Hochstrasse 175 Duisburg,Krachtstroom Essent EM-DE-05112000-03-00001 mennekes
6.752.608,51.410.081,Wanheimer Straﬂe 225 Duisburg,Krachtstroom Essent EM-DE-05112000-08-00001 mennekes
6.752.608,51.410.081,Wanheimer Straﬂe 225 Duisburg,Krachtstroom Essent EM-DE-05112000-08-00001 mennekes
6.768.889,514.925,Hufstraﬂe 27 Duisburg,Krachtstroom Essent EM-DE-05112000-09-00004 mennekes
6.768.889,514.925,Hufstraﬂe 27 Duisburg,Krachtstroom Essent EM-DE-05112000-09-00004 mennekes
70.091,51.449.039,Kruppstrasse 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00001 mennekes
70.091,51.449.039,Kruppstrasse 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00001 mennekes
7.018.083,51.471.728,Karolinger Strasse 94 Essen,Krachtstroom Essent EM-DE-05113000-01-00002 mennekes
7.018.083,51.471.728,Karolinger Strasse 94 Essen,Krachtstroom Essent EM-DE-05113000-01-00002 mennekes
7.012.906,51.465.856,Altenessener Str. 27 Essen,Krachtstroom Essent EM-DE-05113000-01-00003 mennekes
7.012.906,51.465.856,Altenessener Str. 27 Essen,Krachtstroom Essent EM-DE-05113000-01-00003 mennekes
7.013.444,51.460.497,Pferdemarkt 4 Essen,Krachtstroom Essent EM-DE-05113000-01-00004 mennekes
7.013.444,51.460.497,Pferdemarkt 4 Essen,Krachtstroom Essent EM-DE-05113000-01-00004 mennekes
7.010.786,51.455.636,Vereinstraﬂe  Essen,Krachtstroom Essent EM-DE-05113000-01-00005 mennekes
7.010.786,51.455.636,Vereinstraﬂe  Essen,Krachtstroom Essent EM-DE-05113000-01-00005 mennekes
7.009.483,51.446.514,Huyssenallee 52 Essen,Krachtstroom Essent EM-DE-05113000-01-00006 mennekes
7.009.483,51.446.514,Huyssenallee 52 Essen,Krachtstroom Essent EM-DE-05113000-01-00006 mennekes
7.016.497,51.458.856,Ribbeckstraﬂe  Essen,Krachtstroom Essent EM-DE-05113000-01-00007 mennekes
7.016.497,51.458.856,Ribbeckstraﬂe  Essen,Krachtstroom Essent EM-DE-05113000-01-00007 mennekes
7.012.083,51.451.925,Hachestraﬂe 4 Essen,Krachtstroom Essent EM-DE-05113000-01-00008 mennekes
7.012.083,51.451.925,Hachestraﬂe 4 Essen,Krachtstroom Essent EM-DE-05113000-01-00008 mennekes
7.013.689,51.447.914,Rellinghauserstraﬂe 37 Essen,Krachtstroom Essent EM-DE-05113000-01-00009 mennekes
7.013.689,51.447.914,Rellinghauserstraﬂe 37 Essen,Krachtstroom Essent EM-DE-05113000-01-00009 mennekes
7.013.708,51.447.822,Rellinghauserstraﬂe 37 Essen,Krachtstroom Essent EM-DE-05113000-01-00010 mennekes
7.013.708,51.447.822,Rellinghauserstraﬂe 37 Essen,Krachtstroom Essent EM-DE-05113000-01-00010 mennekes
7.016.389,51.455.753,Bernestraﬂe 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00011 mennekes
7.016.389,51.455.753,Bernestraﬂe 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00011 mennekes
7.004.782,51.457.333,Ostfeldstraﬂe 1 Essen,Krachtstroom Essent EM-DE-05113000-01-00016 mennekes
7.004.782,51.457.333,Ostfeldstraﬂe 1 Essen,Krachtstroom Essent EM-DE-05113000-01-00016 mennekes
7.005.694,51.469.419,Kallenbergstraﬂe 11-13 Essen,Krachtstroom Essent EM-DE-05113000-01-00018 mennekes
7.016.804,51.454.371,Gildehofstraﬂe 1 Essen,Krachtstroom Essent EM-DE-05113000-01-00022 mennekes
7.016.804,51.454.371,Gildehofstraﬂe 1 Essen,Krachtstroom Essent EM-DE-05113000-01-00022 mennekes
7.009.406,51.447.976,Baedekerstr. 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00023 mennekes
7.009.406,51.447.976,Baedekerstr. 5 Essen,Krachtstroom Essent EM-DE-05113000-01-00023 mennekes
7.017.952,5.145.808,Kloster Straﬂe 8 Essen,Krachtstroom Essent EM-DE-05113000-01-00026 mennekes
7.017.952,5.145.808,Kloster Straﬂe 8 Essen,Krachtstroom Essent EM-DE-05113000-01-00026 mennekes
7.011.667,51.449.444,Huyssenallee 2 Essen,Krachtstroom Essent EM-DE-05113000-01-00028 mennekes
7.011.667,51.449.444,Huyssenallee 2 Essen,Krachtstroom Essent EM-DE-05113000-01-00028 mennekes
6.998.903,51.436.525,Zweigertstraﬂe 52 Essen,Krachtstroom Essent EM-DE-05113000-02-00001 mennekes
6.998.903,51.436.525,Zweigertstraﬂe 52 Essen,Krachtstroom Essent EM-DE-05113000-02-00001 mennekes
7.006.241,51.437.905,R¸ttenscheider Stern 2 Essen,Krachtstroom Essent EM-DE-05113000-02-00002 mennekes
7.006.241,51.437.905,R¸ttenscheider Stern 2 Essen,Krachtstroom Essent EM-DE-05113000-02-00002 mennekes
7.002.196,51.431.658,Wehmenkamp 31 Essen,Krachtstroom Essent EM-DE-05113000-02-00003 mennekes
7.002.196,51.431.658,Wehmenkamp 31 Essen,Krachtstroom Essent EM-DE-05113000-02-00003 mennekes
6.981.192,514.276,L¸hrmannstr.  Essen,Krachtstroom Essent EM-DE-05113000-03-00001 mennekes
6.981.192,514.276,L¸hrmannstr.  Essen,Krachtstroom Essent EM-DE-05113000-03-00001 mennekes
6.994.797,51.446.603,Kruppstr. 94 Essen,Krachtstroom Essent EM-DE-05113000-03-00002 mennekes
6.994.797,51.446.603,Kruppstr. 94 Essen,Krachtstroom Essent EM-DE-05113000-03-00002 mennekes
6.978.056,51.488.611,Sulterkamp 101 Essen,Krachtstroom Essent EM-DE-05113000-04-00001 mennekes
6.978.056,51.488.611,Sulterkamp 101 Essen,Krachtstroom Essent EM-DE-05113000-04-00001 mennekes
7.043.208,51.472.417,Ernestinenstr. 60 Essen,Krachtstroom Essent EM-DE-05113000-06-00001 mennekes
7.043.208,51.472.417,Ernestinenstr. 60 Essen,Krachtstroom Essent EM-DE-05113000-06-00001 mennekes
7.052.858,51.471.828,Langemarckstraﬂe 30 Essen,Krachtstroom Essent EM-DE-05113000-06-00002 mennekes
7.052.858,51.471.828,Langemarckstraﬂe 30 Essen,Krachtstroom Essent EM-DE-05113000-06-00002 mennekes
7.052.856,51.471.828,Langemarckstraﬂe 30 Essen,Krachtstroom Essent EM-DE-05113000-06-00003 mennekes
7.076.944,51.447.778,Humannstr. 3 Essen,Krachtstroom Essent EM-DE-05113000-07-00003 mennekes
7.076.944,51.447.778,Humannstr. 3 Essen,Krachtstroom Essent EM-DE-05113000-07-00003 mennekes
7.016.487,51.463.566,Sch¸tzenbahn 65 Essen,Krachtstroom Essent EM-DE-05113000-08-00003 mennekes
7.016.487,51.463.566,Sch¸tzenbahn 65 Essen,Krachtstroom Essent EM-DE-05113000-08-00003 mennekes
7.001.833,51.464.267,Segerothstraﬂe 97 Essen,Krachtstroom Essent EM-DE-05113000-08-00004 mennekes
7.001.833,51.464.267,Segerothstraﬂe 97 Essen,Krachtstroom Essent EM-DE-05113000-08-00004 mennekes
7.013.505,5.146.615,Altenessener Str. 35 Essen,Krachtstroom Essent EM-DE-05113000-08-00005 mennekes
7.013.505,5.146.615,Altenessener Str. 35 Essen,Krachtstroom Essent EM-DE-05113000-08-00005 mennekes
7.047.928,51.398.064,Hardenbergufer 381 Essen,Krachtstroom Essent EM-DE-05113000-09-00001 mennekes
7.047.928,51.398.064,Hardenbergufer 381 Essen,Krachtstroom Essent EM-DE-05113000-09-00001 mennekes
7.025.113,51.420.152,Frankenstr. 269 Essen,Krachtstroom Essent EM-DE-05113000-10-00001 mennekes
7.025.113,51.420.152,Frankenstr. 269 Essen,Krachtstroom Essent EM-DE-05113000-10-00001 mennekes
7.010.793,51.458.679,Kopstadtplatz 13 Essen,Krachtstroom Essent EM-DE-05113000-12-00001 mennekes
7.010.793,51.458.679,Kopstadtplatz 13 Essen,Krachtstroom Essent EM-DE-05113000-12-00001 mennekes
7.006.111,51.455.833,Limbeckerplatz 1 Essen,Krachtstroom Essent EM-DE-05113000-12-00002 mennekes
7.006.111,51.455.833,Limbeckerplatz 1 Essen,Krachtstroom Essent EM-DE-05113000-12-00002 mennekes
7.014.444,51.460.833,Pferdemarkt 5 Essen,Krachtstroom Essent EM-DE-05113000-12-00003 mennekes
7.014.444,51.460.833,Pferdemarkt 5 Essen,Krachtstroom Essent EM-DE-05113000-12-00003 mennekes
6.538.611,51.329.167,St. Tˆniserstr. 124 Krefeld,Krachtstroom Essent EM-DE-05114000-01-00001 mennekes
6.538.611,51.329.167,St. Tˆniserstr. 124 Krefeld,Krachtstroom Essent EM-DE-05114000-01-00001 mennekes
6.533.056,51.328.056,St. Tˆniserstr. 270 Krefeld,Krachtstroom Essent EM-DE-05114000-01-00002 mennekes
6.533.056,51.328.056,St. Tˆniserstr. 270 Krefeld,Krachtstroom Essent EM-DE-05114000-01-00002 mennekes
6.447.953,51.157.432,Odenkirchener Strasse 201 Mˆnchengladbach,Krachtstroom Essent EM-DE-05116000-02-00001 mennekes
6.447.953,51.157.432,Odenkirchener Strasse 201 Mˆnchengladbach,Krachtstroom Essent EM-DE-05116000-02-00001 mennekes
